Crosshead ;Load ;Time 
mm;kN;sec
0.00096639;0.010440761;0.115000002
0.001627604;0.010552629;0.215000004
0.002390544;0.010687713;0.314999998
0.003356934;0.01109989;0.414999992
0.004882813;0.012763137;0.514999986
0.006663005;0.014585961;0.61500001
0.008443197;0.017000504;0.714999974
0.010172526;0.018844481;0.814999998
0.011850993;0.020770998;0.915000021
0.013478598;0.022739878;1.014999986
0.015157064;0.024566578;1.11500001
0.016784668;0.026272247;1.215000033
0.018412273;0.02823175;1.315000057
0.02009074;0.029835333;1.414999962
0.021718344;0.031788876;1.514999986
0.023396811;0.033438725;1.61500001
0.025075278;0.035342834;1.715000033
0.026753743;0.03704718;1.815000057
0.028483073;0.038916183;1.914999962
0.03016154;0.040793133;2.015000105
0.031840009;0.042649502;2.11500001
0.033518474;0.044334381;2.214999914
0.035146077;0.046201176;2.315000057
0.036824546;0.047870796;2.414999962
0.038401286;0.049656155;2.515000105
0.040028892;0.051203072;2.61500001
0.041656494;0.053128853;2.714999914
0.043284101;0.054648739;2.815000057
0.044962566;0.056581097;2.914999962
0.046641035;0.058187401;3.015000105
0.0483195;0.060094208;3.11500001
0.049997965;0.06175861;3.214999914
0.051676434;0.06353994;3.315000057
0.053354899;0.06520652;3.414999962
0.055033368;0.067049232;3.515000105
0.056660971;0.068702087;3.61500001
0.058288577;0.070462837;3.714999914
0.059916179;0.072010208;3.815000057
0.061543782;0.073718903;3.914999962
0.063171392;0.075565994;4.014999866
0.064798995;0.07716832;4.114999771
0.066426597;0.078824272;4.215000153
0.068105066;0.080506554;4.315000057
0.069783528;0.082236481;4.414999962
0.071461996;0.083951988;4.514999866
0.073140465;0.085699547;4.614999771
0.074818934;0.087267258;4.715000153
0.076497396;0.089011719;4.815000057
0.078175864;0.09097876;4.914999962
0.079854333;0.092555687;5.014999866
0.081481936;0.094220512;5.114999771
0.083160405;0.095956894;5.215000153
0.084737141;0.097592941;5.315000057
0.08641561;0.099316109;5.414999962
0.088043213;0.10096434;5.514999866
0.089721681;0.102738029;5.614999771
0.09140015;0.104342087;5.715000153
0.093078619;0.106178047;5.815000057
0.094757081;0.107886566;5.914999962
0.096435549;0.109447876;6.014999866
0.098114018;0.111201744;6.114999771
0.099843346;0.113010948;6.215000153
0.101521815;0.114672752;6.315000057
0.103149418;0.116235023;6.414999962
0.10477702;0.117960114;6.514999866
0.106353764;0.119567039;6.614999771
0.107981366;0.121239647;6.715000153
0.109608969;0.122935799;6.815000057
0.111236572;0.124529388;6.914999962
0.112864182;0.126172897;7.014999866
0.114542643;0.127799866;7.114999771
0.116170253;0.129406433;7.215000153
0.117848715;0.131097778;7.315000057
0.119527183;0.132811447;7.414999962
0.121205652;0.134358444;7.514999866
0.122934987;0.136291794;7.614999771
0.124613449;0.137840088;7.715000153
0.126241051;0.139567474;7.815000057
0.127868654;0.141205093;7.914999962
0.129496257;0.142787094;8.015000343
0.131123859;0.144535751;8.114999771
0.132751462;0.146145416;8.215000153
0.134379079;0.147806625;8.31499958
0.136057541;0.1494431;8.414999962
0.137786876;0.151125504;8.515000343
0.139516196;0.152855759;8.614999771
0.141194672;0.154641785;8.715000153
0.142873134;0.156304016;8.81499958
0.144602454;0.157973679;8.914999962
0.14628093;0.159658966;9.015000343
0.147959392;0.1612966;9.114999771
0.149637868;0.162933899;9.215000153
0.151265471;0.164610916;9.31499958
0.152893073;0.166158157;9.414999962
0.154520676;0.167786682;9.515000343
0.156148279;0.169309189;9.614999771
0.157775881;0.170970551;9.715000153
0.159403484;0.172580048;9.81499958
0.161031086;0.174099747;9.914999962
0.162709563;0.1757173;10.01500034
0.164438883;0.177405762;10.11499977
0.166117359;0.179201462;10.21500015
0.16784668;0.180895035;10.31499958
0.169576015;0.182554474;10.41499996
0.171254476;0.184249664;10.51500034
0.172932952;0.185786575;10.61499977
0.174560555;0.187413696;10.71500015
0.176188158;0.189004486;10.81499958
0.17781576;0.190601624;10.91499996
0.179443363;0.192199326;11.01500034
0.181070965;0.193768402;11.11499977
0.182749442;0.195402664;11.21500015
0.184427903;0.196999329;11.31499958
0.186106365;0.198794662;11.41499996
0.1878357;0.200341705;11.51500034
0.189514161;0.20203067;11.61499977
0.191192637;0.203627319;11.71500015
0.192921958;0.205338104;11.81499958
0.194600434;0.206990021;11.91499996
0.196228037;0.208548859;12.01500034
0.197855639;0.210230377;12.11499977
0.199483242;0.211741547;12.21500015
0.201110845;0.213347351;12.31499958
0.202738447;0.214881714;12.41499996
0.20436605;0.216402679;12.51500034
0.205993652;0.21794722;12.61499977
0.207722987;0.219630234;12.71500015
0.209452322;0.221308929;12.81499958
0.211130784;0.222962952;12.91499996
0.212809246;0.224637161;13.01500034
0.214538581;0.226219009;13.11499977
0.216217042;0.227857727;13.21500015
0.217895518;0.229494431;13.31499958
0.21957398;0.230965652;13.41499996
0.221201582;0.232559372;13.51500034
0.222829185;0.234086624;13.61499977
0.224456788;0.235571838;13.71500015
0.22608439;0.23720137;13.81499958
0.227712007;0.238705887;13.91499996
0.22933961;0.24024826;14.01500034
0.231018072;0.241832565;14.11499977
0.232696533;0.243525955;14.21500015
0.234425868;0.245159592;14.31499958
0.236155203;0.246866455;14.41499996
0.237884524;0.248447098;14.51500034
0.239563;0.25005545;14.61499977
0.24129232;0.251625473;14.71500015
0.242970797;0.253296692;14.81499958
0.244598399;0.254788498;14.91499996
0.246226002;0.256305328;15.01500034
0.247802731;0.257850677;15.11499977
0.249430333;0.25932312;15.21500015
0.251057936;0.260684448;15.31499958
0.252685568;0.262400848;15.41499996
0.254364015;0.263988159;15.51500034
0.256042491;0.265551758;15.61499977
0.257670094;0.267092743;15.71500015
0.259399414;0.268701141;15.81499958
0.26107789;0.270255005;15.91499996
0.262807211;0.271846375;16.01499939
0.264434813;0.273396088;16.11499977
0.266113289;0.275066681;16.21500015
0.267791766;0.27649765;16.31500053
0.269419368;0.278097534;16.41500092
0.271046971;0.27962616;16.51499939
0.272674573;0.281010223;16.61499977
0.274302176;0.282537262;16.71500015
0.275929779;0.284095795;16.81500053
0.277608255;0.285560364;16.91500092
0.279286702;0.287246033;17.01499939
0.281016051;0.288844269;17.11499977
0.282694498;0.290365509;17.21500015
0.284423848;0.292000092;17.31500053
0.286102295;0.29356665;17.41500092
0.287780771;0.29511908;17.51499939
0.289459247;0.296834259;17.61499977
0.29108685;0.29831839;17.71500015
