Crosshead ;Load ;Time 
mm;kN;sec
0.000762939;0.15084494;0.123000003
0.001475016;0.15101384;0.223000005
0.002339681;0.151346786;0.323000014
0.003814697;0.152682281;0.423000008
0.005493164;0.154344345;0.523000002
0.007171631;0.156003983;0.623000026
0.008799235;0.157753403;0.72299999
0.010426839;0.159218155;0.823000014
0.012054444;0.160825531;0.922999978
0.013631186;0.16242601;1.023000002
0.015258789;0.163984665;1.123000026
0.016886393;0.165546906;1.22300005
0.018463135;0.167160095;1.322999954
0.02009074;0.168751572;1.422999978
0.021718344;0.170286789;1.523000002
0.023396811;0.172010574;1.623000026
0.025024414;0.173589081;1.72300005
0.026702881;0.175196701;1.822999954
0.02843221;0.176926178;1.922999978
0.030110677;0.178475967;2.023000002
0.031738284;0.180123413;2.122999907
0.033416749;0.181680817;2.22300005
0.035044352;0.183283691;2.322999954
0.036671958;0.184746231;2.423000097
0.038248698;0.186332993;2.523000002
0.039876304;0.187880341;2.622999907
0.041503907;0.189344986;2.72300005
0.043131513;0.190902527;2.822999954
0.044759116;0.192582474;2.923000097
0.046437584;0.194192444;3.023000002
0.04811605;0.195722702;3.122999907
0.049794515;0.197415573;3.22300005
0.051523846;0.199086121;3.322999954
0.053202311;0.20060881;3.423000097
0.05488078;0.202220856;3.523000002
0.056559245;0.203803757;3.622999907
0.058186852;0.205321198;3.72300005
0.059814454;0.206851089;3.822999954
0.061442057;0.208427444;3.923000097
0.06306966;0.209972488;4.022999763
0.064697269;0.211525681;4.123000145
0.066375731;0.213172012;4.22300005
0.068003341;0.214665405;4.322999954
0.069681802;0.216349777;4.422999859
0.071360271;0.217940994;4.522999763
0.07303874;0.219498154;4.623000145
0.074717209;0.221100128;4.72300005
0.07639567;0.222708771;4.822999954
0.07802328;0.22419368;4.922999859
0.079701742;0.225810501;5.022999763
0.081329345;0.227418823;5.123000145
0.082956954;0.228820999;5.22300005
0.084584557;0.230376373;5.322999954
0.08621216;0.231922714;5.422999859
0.087839762;0.233517502;5.522999763
0.089467372;0.235012955;5.623000145
0.091145834;0.236621521;5.72300005
0.092773436;0.238320297;5.822999954
0.094451905;0.23982457;5.922999859
0.096130374;0.241393784;6.022999763
0.097859702;0.243133698;6.123000145
0.099538171;0.244678879;6.22300005
0.101216639;0.246363754;6.322999954
0.102895101;0.247865082;6.422999859
0.104522711;0.249423782;6.522999763
0.106150314;0.250987778;6.623000145
0.107727057;0.252429138;6.72300005
0.10935466;0.25394281;6.822999954
0.110982262;0.255424652;6.922999859
0.112609865;0.257029297;7.022999763
0.114237468;0.258515839;7.123000145
0.115915936;0.260177368;7.22300005
0.117645264;0.261840515;7.322999954
0.119323733;0.263433502;7.422999859
0.121053061;0.265066833;7.522999763
0.122731537;0.266633667;7.623000145
0.124409999;0.268268616;7.72300005
0.12608846;0.269838348;7.822999954
0.127716063;0.271361084;7.922999859
0.129292806;0.272807892;8.022999763
0.130920409;0.274441986;8.123000145
0.132548012;0.275983887;8.222999573
0.134175629;0.277497314;8.322999954
0.135803231;0.278951965;8.423000336
0.137481693;0.28063913;8.522999763
0.139160155;0.282247131;8.623000145
0.140838631;0.28391983;8.722999573
0.142567951;0.285452545;8.822999954
0.144297286;0.287086151;8.923000336
0.146026621;0.288718262;9.022999763
0.147755942;0.290413666;9.123000145
0.149485277;0.292014832;9.222999573
0.151112879;0.29351239;9.322999954
0.152740482;0.295098633;9.423000336
0.154368085;0.296580292;9.522999763
0.155995687;0.298115845;9.623000145
0.15762329;0.299622131;9.722999573
0.159250892;0.301123169;9.822999954
0.160929369;0.302742371;9.923000336
0.162556971;0.304207062;10.02299976
0.164235433;0.305686462;10.12300014
0.165913909;0.307317169;10.22299957
0.167643229;0.308884979;10.32299995
0.169321705;0.310430908;10.42300034
0.171000167;0.311984222;10.52299976
0.172678629;0.313539917;10.62300014
0.174357105;0.314972626;10.72299957
0.175984707;0.316554596;10.82299995
0.177663169;0.318061127;10.92300034
0.179239913;0.319520569;11.02299976
0.180867515;0.32097522;11.12300014
0.18259685;0.322479309;11.22299957
0.184275312;0.324071075;11.32299995
0.185953788;0.325627625;11.42300034
0.187683108;0.327169891;11.52299976
0.189361584;0.328652191;11.62300014
0.191040046;0.330199738;11.72299957
0.192718508;0.331819;11.82299995
0.194396984;0.333262421;11.92300034
0.196075445;0.334768219;12.02299976
0.197703048;0.336228119;12.12300014
0.199330651;0.337586609;12.22299957
0.200958253;0.33906665;12.32299995
0.202585856;0.340483978;12.42300034
0.204213473;0.341899933;12.52299976
0.205841076;0.343528107;12.62300014
0.207519537;0.34497876;12.72299957
0.209197999;0.346542847;12.82299995
0.210927334;0.347999725;12.92300034
0.212605795;0.349465088;13.02299976
0.21433513;0.351009064;13.12300014
0.216064465;0.35261557;13.22299957
0.217793786;0.354087097;13.32299995
0.219472262;0.355677704;13.42300034
0.221099865;0.357045715;13.52299976
0.222778326;0.358593384;13.62300014
0.224405929;0.35994339;13.72299957
0.226033531;0.361390442;13.82299995
0.227661134;0.362801666;13.92300034
0.229288737;0.364255676;14.02299976
0.230967213;0.365685852;14.12300014
0.232645674;0.367194244;14.22299957
0.23432415;0.368559845;14.32299995
0.236002612;0.370077484;14.42300034
0.237681073;0.371578766;14.52299976
0.239410409;0.373029541;14.62300014
0.24108887;0.374487061;14.72299957
0.242767346;0.375985687;14.82299995
0.244445808;0.377417542;14.92300034
0.24607341;0.378908325;15.02299976
0.247650139;0.380214447;15.12300014
0.249277771;0.38163092;15.22299957
0.250905374;0.383041351;15.32299995
0.252532976;0.384520782;15.42300034
0.254262297;0.386036041;15.52299976
0.255940773;0.387476929;15.62300014
0.25761922;0.388903992;15.72299957
0.25934857;0.390408997;15.82299995
0.261027017;0.391847931;15.92300034
0.262705493;0.393310516;16.02300072
0.264383969;0.394697449;16.12299919
0.266062416;0.396236023;16.22299957
0.267740892;0.397571045;16.32299995
0.269368495;0.398944885;16.42300034
0.270945224;0.400391388;16.52300072
0.272572855;0.401778259;16.62299919
0.274200458;0.403225586;16.72299957
0.275878905;0.404668152;16.82299995
0.277557381;0.406040802;16.92300034
0.279235857;0.407533081;17.02300072
0.280914304;0.409045258;17.12299919
0.282643654;0.410476105;17.22299957
0.284322101;0.41190744;17.32299995
0.286000577;0.413335327;17.42300034
0.287729898;0.414850769;17.52300072
0.289408374;0.416303894;17.62299919
0.291035976;0.417706085;17.72299957
0.292663579;0.419154633;17.82299995
0.294291181;0.420528717;17.92300034
0.295918784;0.42179303;18.02300072
0.297546387;0.423162842;18.12299919
0.299173989;0.424579376;18.22299957
0.300852465;0.425970581;18.32299995
0.302530942;0.427473877;18.42300034
0.304260262;0.428901642;18.52300072
0.305938738;0.430318359;18.62299919
0.307617185;0.431758881;18.72299957
0.309346535;0.433241669;18.82299995
0.310974137;0.434679443;18.92300034
0.31260174;0.436060486;19.02300072
0.314229343;0.437357391;19.12299919
0.315856945;0.43873407;19.22299957
0.317484548;0.440070221;19.32299995
0.319061277;0.441417572;19.42300034
0.320739753;0.442824127;19.52300072
0.322367356;0.444218811;19.62299919
0.324045832;0.445599915;19.72299957
0.325775152;0.447085602;19.82299995
0.327555346;0.448622253;19.92300034
0.329284667;0.450088287;20.02300072
0.331014016;0.451507538;20.12299919
0.332692463;0.452955475;20.22299957
0.33437094;0.45429007;20.32299995
0.335998542;0.455699982;20.42300034
0.337626145;0.45699939;20.52300072
0.339304621;0.458374603;20.62299919
0.34088135;0.459810333;20.72299957
0.342508953;0.461046906;20.82299995
0.344136555;0.462439331;20.92300034
0.345815031;0.463753876;21.02300072
0.347493507;0.465164124;21.12299919
0.349171954;0.4665867;21.22299957
0.350850431;0.46796286;21.32299995
0.352579751;0.469390503;21.42300034
0.354309101;0.470880371;21.52300072
0.355987548;0.472282806;21.62299919
0.357716897;0.473588959;21.72299957
0.3593445;0.474974884;21.82299995
0.361022947;0.476350403;21.92300034
0.36265055;0.477693634;22.02300072
0.364278181;0.479036804;22.12299919
0.365905784;0.48038031;22.22299957
0.367584231;0.481751801;22.32299995
0.369211833;0.483094238;22.42300034
0.37089031;0.484467346;22.52300072
0.37261963;0.485835968;22.62299919
0.374298106;0.487182343;22.72299957
0.375976582;0.488588654;22.82299995
0.377655029;0.489998413;22.92300034
0.379384379;0.49134613;23.02300072
0.381011982;0.492676422;23.12299919
0.382690429;0.493920898;23.22299957
0.384318031;0.495321899;23.32299995
0.385945634;0.496663177;23.42300034
0.387573265;0.497985809;23.52300072
0.389149995;0.499255219;23.62299919
0.390828471;0.500542358;23.72299957
0.392506918;0.501915009;23.82299995
0.394236267;0.503377258;23.92300034
0.395914714;0.504710144;24.02300072
0.397644064;0.506132751;24.12299919
0.399322511;0.507487396;24.22299957
0.401000987;0.508888702;24.32299995
0.402679463;0.5101745;24.42300034
0.40435791;0.51141925;24.52300072
0.405934668;0.512835571;24.62299919
0.407562271;0.514030823;24.72299957
0.409189874;0.515322754;24.82299995
0.410817476;0.516570007;24.92300034
0.412394205;0.517809448;25.02300072
0.414072681;0.519032471;25.12299919
0.415751158;0.520420105;25.22299957
0.417429605;0.521812927;25.32299995
0.419108081;0.523100647;25.42300034
0.420786557;0.524486633;25.52300072
0.422515877;0.525784363;25.62299919
0.424296071;0.527202515;25.72299957
0.426025392;0.528535767;25.82299995
0.427652994;0.529941467;25.92300034
0.429331471;0.531158508;26.02300072
0.430959073;0.532380554;26.12299919
0.432586676;0.533821533;26.22299957
0.434214278;0.53496228;26.32299995
0.435841881;0.536158142;26.42300034
0.437469484;0.53747168;26.52300072
0.43914796;0.538744385;26.62299919
0.440775562;0.540004272;26.72299957
0.442454038;0.541360718;26.82299995
0.444132485;0.542666626;26.92300034
0.445810962;0.543939453;27.02300072
0.447489438;0.545182983;27.12299919
0.449167914;0.546528687;27.22299957
0.450846361;0.547833008;27.32299995
0.452473963;0.549104553;27.42300034
0.454101566;0.550376831;27.52300072
0.455729169;0.551533936;27.62299919
0.457356771;0.552761414;27.72299957
0.458984374;0.553967102;27.82299995
0.46066285;0.55528418;27.92300034
0.462290453;0.556685913;28.02300072
0.463968929;0.557916443;28.12299919
0.465647405;0.55915863;28.22299957
0.467376725;0.56039978;28.32299995
0.469106046;0.561769226;28.42300034
0.470835366;0.563077393;28.52300072
0.472513842;0.564329651;28.62299919
0.474141445;0.565475037;28.72299957
0.475769048;0.56673053;28.82299995
0.47739665;0.568010071;28.92300034
0.479024253;0.569289734;29.02300072
0.480651855;0.570514526;29.12299919
0.482330332;0.57172168;29.22299957
0.483957934;0.572862854;29.32299995
0.48563641;0.574212463;29.42300034
0.487264013;0.575456909;29.52300072
0.488942489;0.576642334;29.62299919
0.49067178;0.577984131;29.72299957
0.492350257;0.579235352;29.82299995
0.494028733;0.580449463;29.92300034
0.495707209;0.581788269;30.02300072
0.497385685;0.582935486;30.12299919
0.499064161;0.584238342;30.22299957
0.500691764;0.585471802;30.32299995
0.502319366;0.586601135;30.42300034
0.503946969;0.587782776;30.52300072
0.505574571;0.589004456;30.62299919
0.507202174;0.590202881;30.72299957
0.50888065;0.591423279;30.82299995
0.510609942;0.592659607;30.92300034
0.512288418;0.593887573;31.02300072
0.514017767;0.595184265;31.12299919
0.515696243;0.596492188;31.22299957
0.517425535;0.597729187;31.32299995
0.519104011;0.59905719;31.42300034
0.52083336;0.600286438;31.52300072
0.522460963;0.601481018;31.62299919
0.524088566;0.602595703;31.72299957
0.525716168;0.603856934;31.82299995
0.527292897;0.604990967;31.92300034
0.5289205;0.606182861;32.02299881
0.530548103;0.607242004;32.1230011
0.532175705;0.60835376;32.22299957
0.533905055;0.609640137;32.32300186
0.535634346;0.610859985;32.42300034
0.537312822;0.612135742;32.52299881
0.539093046;0.613316833;32.6230011
0.540822337;0.614598511;32.72299957
0.542500813;0.615803955;32.82300186
0.544128416;0.616874817;32.92300034
0.545806892;0.618120972;33.02299881
0.547434494;0.619243408;33.1230011
0.549011223;0.620466187;33.22299957
0.550638826;0.621470459;33.32300186
0.552266429;0.622599792;33.42300034
0.553894031;0.623764954;33.52299881
0.555572507;0.624911743;33.6230011
0.557250984;0.626171326;33.72299957
0.55892946;0.627386353;33.82300186
0.560658809;0.62855835;33.92300034
0.562337227;0.629801453;34.02299881
0.564066577;0.630966187;34.1230011
0.565745053;0.63214801;34.22299957
0.567423529;0.633379639;34.32300186
0.569051132;0.634540283;34.42300034
0.570729608;0.635612915;34.52299881
0.57235721;0.636729309;34.6230011
0.573984813;0.63786969;34.72299957
0.575612416;0.63898822;34.82300186
0.577240018;0.640042725;34.92300034
0.578918494;0.641226196;35.02299881
0.580596912;0.642421326;35.1230011
0.582326262;0.643575317;35.22299957
0.584004738;0.64475824;35.32300186
0.585683214;0.645967651;35.42300034
0.58736169;0.64705249;35.52299881
0.589040108;0.648154907;35.6230011
0.590667769;0.649364014;35.72299957
0.592295371;0.650443665;35.82300186
0.593922974;0.651552368;35.92300034
0.595499703;0.652655701;36.02299881
0.597178179;0.65374115;36.1230011
0.598805782;0.654893555;36.22299957
0.600433385;0.656066223;36.32300186
0.602111861;0.657137085;36.42300034
0.603790279;0.658332642;36.52299881
0.605519628;0.659415588;36.6230011
0.607198104;0.660533264;36.72299957
